system:index,region,vegClimZoneLab,pop,ref,skog
+23254+221255,Vestlandet,Sørboreal sone (SB),"2.015609741210938","0.1987848877906799","5.843530128691545"
+23264+221254,Vestlandet,Sørboreal sone (SB),"2.12823486328125","0.1987848877906799","5.843530128691545"
+23441+231615,Midt-Norge,Boreonemoral sone (BN),"1.098695755004883","0.03343403577745711","3.485389249936309"
+23456+231602,Midt-Norge,Boreonemoral sone (BN),"1.818216323852539","0.03343403577745711","3.485389249936309"
+23460+231604,Midt-Norge,Boreonemoral sone (BN),"2.016782760620117","0.03343403577745711","3.485389249936309"
+23464+231606,Midt-Norge,Boreonemoral sone (BN),"0.05370616912841797","0.03343403577745711","3.485389249936309"
+23633+231806,Midt-Norge,Boreonemoral sone (BN),"6.210346221923828","0.03343403577745711","3.485389249936309"
+23635+231805,Midt-Norge,Boreonemoral sone (BN),"3.31854248046875","0.03343403577745711","3.485389249936309"
+23893+231688,Midt-Norge,Sørboreal sone (SB),"0.1593577927405681","0.1593577927405681","1.831350345693832"
+23905+231689,Midt-Norge,Sørboreal sone (SB),"4.205696105957031","0.1593577927405681","1.831350345693832"
+23910+231695,Midt-Norge,Sørboreal sone (SB),"2.869331359863281","0.1593577927405681","1.831350345693832"
+23920+231694,Midt-Norge,Sørboreal sone (SB),"11.88010406494141","0.1593577927405681","1.831350345693832"
+23924+231694,Midt-Norge,Sørboreal sone (SB),"4.725334167480469","0.1593577927405681","1.831350345693832"
+23927+231687,Midt-Norge,Sørboreal sone (SB),"3.24165153503418","0.1593577927405681","1.831350345693832"
+24319+220864,Vestlandet,Mellomboreal sone (MB),"0.1538141424005682","0.1538141424005682","3.102972104116748"
+24556+220924,Vestlandet,Sørboreal sone (SB),"11.13790893554688","0.1987848877906799","5.843530128691545"
+24610+220871,Vestlandet,Sørboreal sone (SB),"2.835311889648438","0.1987848877906799","5.843530128691545"
+24622+220867,Vestlandet,Sørboreal sone (SB),"1.748786926269531","0.1987848877906799","5.843530128691545"
